# Rosenbrock basin log
# X Y Tier_Std Tier_Sym
-1.111111e+00 1.747475e+00 2 3
-1.111111e+00 1.787879e+00 3 3
-1.111111e+00 1.828283e+00 3 3
-1.111111e+00 1.868687e+00 2 3
-1.111111e+00 1.909091e+00 3 3
-1.111111e+00 1.949495e+00 3 3
-1.111111e+00 1.989899e+00 3 3
-1.111111e+00 2.030303e+00 3 3
-1.111111e+00 2.070707e+00 3 3
-1.111111e+00 2.111111e+00 3 3
-1.111111e+00 2.151515e+00 4 3
-1.111111e+00 2.191919e+00 3 3
-1.111111e+00 2.232323e+00 4 3
-1.111111e+00 2.272727e+00 4 3
-1.111111e+00 2.313131e+00 4 3
-1.111111e+00 2.353535e+00 4 3
-1.111111e+00 2.393939e+00 2 3
-1.111111e+00 2.434343e+00 3 3
-1.111111e+00 2.474747e+00 4 3
-1.111111e+00 2.515152e+00 4 3
-1.111111e+00 2.555556e+00 4 3
-1.111111e+00 2.595960e+00 3 3
-1.111111e+00 2.636364e+00 3 3
-1.111111e+00 2.676768e+00 2 3
-1.111111e+00 2.717172e+00 3 3
-1.111111e+00 2.757576e+00 2 3
-1.111111e+00 2.797980e+00 4 3
-1.111111e+00 2.838384e+00 3 3
-1.111111e+00 2.878788e+00 4 3
-1.111111e+00 2.919192e+00 4 3
-1.111111e+00 2.959596e+00 3 3
-1.111111e+00 3.000000e+00 2 3

-1.070707e+00 -1.000000e+00 3 2
-1.070707e+00 -9.595960e-01 2 2
-1.070707e+00 -9.191919e-01 2 2
-1.070707e+00 -8.787879e-01 2 2
-1.070707e+00 -8.383838e-01 2 2
-1.070707e+00 -7.979798e-01 2 2
-1.070707e+00 -7.575758e-01 3 2
-1.070707e+00 -7.171717e-01 3 2
-1.070707e+00 -6.767677e-01 3 2
-1.070707e+00 -6.363636e-01 2 2
-1.070707e+00 -5.959596e-01 2 2
-1.070707e+00 -5.555556e-01 3 2
-1.070707e+00 -5.151515e-01 3 2
-1.070707e+00 -4.747475e-01 2 2
-1.070707e+00 -4.343434e-01 3 2
-1.070707e+00 -3.939394e-01 2 2
-1.070707e+00 -3.535354e-01 2 2
-1.070707e+00 -3.131313e-01 2 2
-1.070707e+00 -2.727273e-01 3 2
-1.070707e+00 -2.323232e-01 2 2
-1.070707e+00 -1.919192e-01 1 1
-1.070707e+00 -1.515152e-01 2 1
-1.070707e+00 -1.111111e-01 1 1
-1.070707e+00 -7.070707e-02 2 1
-1.070707e+00 -3.030303e-02 2 1
-1.070707e+00 1.010101e-02 2 1
-1.070707e+00 5.050505e-02 2 2
-1.070707e+00 9.090909e-02 2 2
-1.070707e+00 1.313131e-01 2 2
-1.070707e+00 1.717172e-01 2 2
-1.070707e+00 2.121212e-01 2 2
-1.070707e+00 2.525253e-01 4 2
-1.070707e+00 2.929293e-01 4 2
-1.070707e+00 3.333333e-01 4 2
-1.070707e+00 3.737374e-01 3 3
-1.070707e+00 4.141414e-01 2 2
-1.070707e+00 4.545455e-01 2 2
-1.070707e+00 4.949495e-01 2 2
-1.070707e+00 5.353535e-01 2 2
-1.070707e+00 5.757576e-01 3 2
-1.070707e+00 6.161616e-01 4 3
-1.070707e+00 6.565657e-01 4 3
-1.070707e+00 6.969697e-01 4 3
-1.070707e+00 7.373737e-01 2 2
-1.070707e+00 7.777778e-01 2 2
-1.070707e+00 8.181818e-01 4 3
-1.070707e+00 8.585859e-01 3 3
-1.070707e+00 8.989899e-01 3 2
-1.070707e+00 9.393939e-01 3 3
-1.070707e+00 9.797980e-01 3 3
-1.070707e+00 1.020202e+00 4 3
-1.070707e+00 1.060606e+00 3 2
-1.070707e+00 1.101010e+00 3 3
-1.070707e+00 1.141414e+00 3 3
-1.070707e+00 1.181818e+00 2 3
-1.070707e+00 1.222222e+00 4 3
-1.070707e+00 1.262626e+00 2 3
-1.070707e+00 1.303030e+00 4 3
-1.070707e+00 1.343434e+00 4 3
-1.070707e+00 1.383838e+00 3 3
-1.070707e+00 1.424242e+00 2 3
-1.070707e+00 1.464646e+00 2 3
-1.070707e+00 1.505051e+00 2 3
-1.070707e+00 1.545455e+00 4 3
-1.070707e+00 1.585859e+00 4 3
-1.070707e+00 1.626263e+00 2 3
-1.070707e+00 1.666667e+00 4 3
-1.070707e+00 1.707071e+00 3 3
-1.070707e+00 1.747475e+00 2 3
-1.070707e+00 1.787879e+00 3 3
-1.070707e+00 1.828283e+00 4 3
-1.070707e+00 1.868687e+00 3 3
-1.070707e+00 1.909091e+00 4 3
-1.070707e+00 1.949495e+00 3 3
-1.070707e+00 1.989899e+00 4 3
-1.070707e+00 2.030303e+00 4 3
-1.070707e+00 2.070707e+00 2 3
-1.070707e+00 2.111111e+00 3 3
-1.070707e+00 2.151515e+00 4 3
-1.070707e+00 2.191919e+00 3 3
-1.070707e+00 2.232323e+00 4 3
-1.070707e+00 2.272727e+00 3 3
-1.070707e+00 2.313131e+00 4 3
-1.070707e+00 2.353535e+00 4 3
-1.070707e+00 2.393939e+00 2 3
-1.070707e+00 2.434343e+00 3 3
-1.070707e+00 2.474747e+00 2 3
-1.070707e+00 2.515152e+00 3 3
-1.070707e+00 2.555556e+00 3 3
-1.070707e+00 2.595960e+00 4 3
-1.070707e+00 2.636364e+00 3 3
-1.070707e+00 2.676768e+00 4 3
-1.070707e+00 2.717172e+00 4 3
-1.070707e+00 2.757576e+00 3 3
-1.070707e+00 2.797980e+00 3 3
-1.070707e+00 2.838384e+00 3 3
-1.070707e+00 2.878788e+00 4 3
-1.070707e+00 2.919192e+00 3 3
-1.070707e+00 2.959596e+00 4 3
-1.070707e+00 3.000000e+00 4 3

-1.030303e+00 -1.000000e+00 3 2
-1.030303e+00 -9.595960e-01 2 2
-1.030303e+00 -9.191919e-01 4 2
-1.030303e+00 -8.787879e-01 2 2
-1.030303e+00 -8.383838e-01 2 2
-1.030303e+00 -7.979798e-01 3 2
-1.030303e+00 -7.575758e-01 3 2
-1.030303e+00 -7.171717e-01 3 2
-1.030303e+00 -6.767677e-01 3 2
-1.030303e+00 -6.363636e-01 3 2
-1.030303e+00 -5.959596e-01 2 2
-1.030303e+00 -5.555556e-01 3 2
-1.030303e+00 -5.151515e-01 3 2
-1.030303e+00 -4.747475e-01 4 2
-1.030303e+00 -4.343434e-01 3 2
-1.030303e+00 -3.939394e-01 2 2
-1.030303e+00 -3.535354e-01 3 2
-1.030303e+00 -3.131313e-01 2 1
-1.030303e+00 -2.727273e-01 3 2
-1.030303e+00 -2.323232e-01 1 2
-1.030303e+00 -1.919192e-01 1 2
-1.030303e+00 -1.515152e-01 1 1
-1.030303e+00 -1.111111e-01 2 1
-1.030303e+00 -7.070707e-02 2 2
-1.030303e+00 -3.030303e-02 2 2
-1.030303e+00 1.010101e-02 2 2
-1.030303e+00 5.050505e-02 2 2
-1.030303e+00 9.090909e-02 5 2
-1.030303e+00 1.313131e-01 2 2
-1.030303e+00 1.717172e-01 2 2
-1.030303e+00 2.121212e-01 2 2
-1.030303e+00 2.525253e-01 2 2
-1.030303e+00 2.929293e-01 4 2
-1.030303e+00 3.333333e-01 2 2
-1.030303e+00 3.737374e-01 2 2
-1.030303e+00 4.141414e-01 2 2
-1.030303e+00 4.545455e-01 2 2
-1.030303e+00 4.949495e-01 3 2
-1.030303e+00 5.353535e-01 3 3
-1.030303e+00 5.757576e-01 4 3
-1.030303e+00 6.161616e-01 4 3
-1.030303e+00 6.565657e-01 3 2
-1.030303e+00 6.969697e-01 2 2
-1.030303e+00 7.373737e-01 4 3
-1.030303e+00 7.777778e-01 2 3
-1.030303e+00 8.181818e-01 2 3
-1.030303e+00 8.585859e-01 4 3
-1.030303e+00 8.989899e-01 2 3
-1.030303e+00 9.393939e-01 2 3
-1.030303e+00 9.797980e-01 4 3
-1.030303e+00 1.020202e+00 3 3
-1.030303e+00 1.060606e+00 3 3
-1.030303e+00 1.101010e+00 3 3
-1.030303e+00 1.141414e+00 4 3
-1.030303e+00 1.181818e+00 4 3
-1.030303e+00 1.222222e+00 2 3
-1.030303e+00 1.262626e+00 4 3
-1.030303e+00 1.303030e+00 3 3
-1.030303e+00 1.343434e+00 4 3
-1.030303e+00 1.383838e+00 3 3
-1.030303e+00 1.424242e+00 4 3
-1.030303e+00 1.464646e+00 3 3
-1.030303e+00 1.505051e+00 4 3
-1.030303e+00 1.545455e+00 3 3
-1.030303e+00 1.585859e+00 4 3
-1.030303e+00 1.626263e+00 4 3
-1.030303e+00 1.666667e+00 4 3
-1.030303e+00 1.707071e+00 3 3
-1.030303e+00 1.747475e+00 2 3
-1.030303e+00 1.787879e+00 3 3
-1.030303e+00 1.828283e+00 4 3
-1.030303e+00 1.868687e+00 2 3
-1.030303e+00 1.909091e+00 4 3
-1.030303e+00 1.949495e+00 2 3
-1.030303e+00 1.989899e+00 3 3
-1.030303e+00 2.030303e+00 3 3
-1.030303e+00 2.070707e+00 4 3
-1.030303e+00 2.111111e+00 4 3
-1.030303e+00 2.151515e+00 3 3
-1.030303e+00 2.191919e+00 4 3
-1.030303e+00 2.232323e+00 4 3
-1.030303e+00 2.272727e+00 4 3
-1.030303e+00 2.313131e+00 3 3
-1.030303e+00 2.353535e+00 4 3
-1.030303e+00 2.393939e+00 3 3
-1.030303e+00 2.434343e+00 2 3
-1.030303e+00 2.474747e+00 2 3
-1.030303e+00 2.515152e+00 2 3
-1.030303e+00 2.555556e+00 3 3
-1.030303e+00 2.595960e+00 1 3
-1.030303e+00 2.636364e+00 2 3
-1.030303e+00 2.676768e+00 3 3
-1.030303e+00 2.717172e+00 4 3
-1.030303e+00 2.757576e+00 3 3
-1.030303e+00 2.797980e+00 2 3
-1.030303e+00 2.838384e+00 3 3
-1.030303e+00 2.878788e+00 3 3
-1.030303e+00 2.919192e+00 3 3
-1.030303e+00 2.959596e+00 4 3
-1.030303e+00 3.000000e+00 4 3

-9.898990e-01 -1.000000e+00 2 2
-9.898990e-01 -9.595960e-01 2 2
-9.898990e-01 -9.191919e-01 2 2
-9.898990e-01 -8.787879e-01 2 2
-9.898990e-01 -8.383838e-01 2 2
-9.898990e-01 -7.979798e-01 2 2
-9.898990e-01 -7.575758e-01 4 2
-9.898990e-01 -7.171717e-01 2 2
-9.898990e-01 -6.767677e-01 2 2
-9.898990e-01 -6.363636e-01 3 2
-9.898990e-01 -5.959596e-01 0 2
-9.898990e-01 -5.555556e-01 3 2
-9.898990e-01 -5.151515e-01 2 2
-9.898990e-01 -4.747475e-01 1 2
-9.898990e-01 -4.343434e-01 2 1
-9.898990e-01 -3.939394e-01 2 2
-9.898990e-01 -3.535354e-01 1 1
-9.898990e-01 -3.131313e-01 1 2
-9.898990e-01 -2.727273e-01 2 2
-9.898990e-01 -2.323232e-01 1 1
-9.898990e-01 -1.919192e-01 2 2
-9.898990e-01 -1.515152e-01 2 2
-9.898990e-01 -1.111111e-01 2 2
-9.898990e-01 -7.070707e-02 2 2
-9.898990e-01 -3.030303e-02 2 2
-9.898990e-01 1.010101e-02 3 2
-9.898990e-01 5.050505e-02 3 2
-9.898990e-01 9.090909e-02 2 2
-9.898990e-01 1.313131e-01 2 2
-9.898990e-01 1.717172e-01 2 2
-9.898990e-01 2.121212e-01 2 2
-9.898990e-01 2.525253e-01 2 2
-9.898990e-01 2.929293e-01 2 2
-9.898990e-01 3.333333e-01 2 2
-9.898990e-01 3.737374e-01 1 2
-9.898990e-01 4.141414e-01 3 2
-9.898990e-01 4.545455e-01 4 2
-9.898990e-01 4.949495e-01 3 2
-9.898990e-01 5.353535e-01 2 3
-9.898990e-01 5.757576e-01 3 3
-9.898990e-01 6.161616e-01 2 2
-9.898990e-01 6.565657e-01 4 3
-9.898990e-01 6.969697e-01 4 3
-9.898990e-01 7.373737e-01 2 2
-9.898990e-01 7.777778e-01 3 2
-9.898990e-01 8.181818e-01 4 3
-9.898990e-01 8.585859e-01 3 3
-9.898990e-01 8.989899e-01 2 3
-9.898990e-01 9.393939e-01 2 3
-9.898990e-01 9.797980e-01 1 1
-9.898990e-01 1.020202e+00 3 3
-9.898990e-01 1.060606e+00 4 3
-9.898990e-01 1.101010e+00 3 3
-9.898990e-01 1.141414e+00 4 3
-9.898990e-01 1.181818e+00 4 3
-9.898990e-01 1.222222e+00 2 3
-9.898990e-01 1.262626e+00 3 3
-9.898990e-01 1.303030e+00 4 3
-9.898990e-01 1.343434e+00 4 3
-9.898990e-01 1.383838e+00 2 3
-9.898990e-01 1.424242e+00 4 3
-9.898990e-01 1.464646e+00 4 3
-9.898990e-01 1.505051e+00 2 3
-9.898990e-01 1.545455e+00 4 3
-9.898990e-01 1.585859e+00 4 3
-9.898990e-01 1.626263e+00 2 3
-9.898990e-01 1.666667e+00 3 2
-9.898990e-01 1.707071e+00 3 3
-9.898990e-01 1.747475e+00 4 3
-9.898990e-01 1.787879e+00 1 2
-9.898990e-01 1.828283e+00 3 3
-9.898990e-01 1.868687e+00 3 3
-9.898990e-01 1.909091e+00 4 3
-9.898990e-01 1.949495e+00 2 3
-9.898990e-01 1.989899e+00 4 3
-9.898990e-01 2.030303e+00 3 3
-9.898990e-01 2.070707e+00 4 3
-9.898990e-01 2.111111e+00 4 3
-9.898990e-01 2.151515e+00 2 3
-9.898990e-01 2.191919e+00 4 3
-9.898990e-01 2.232323e+00 2 3
-9.898990e-01 2.272727e+00 3 3
-9.898990e-01 2.313131e+00 3 3
-9.898990e-01 2.353535e+00 3 3
-9.898990e-01 2.393939e+00 3 3
-9.898990e-01 2.434343e+00 2 3
-9.898990e-01 2.474747e+00 4 3
-9.898990e-01 2.515152e+00 3 3
-9.898990e-01 2.555556e+00 3 3
-9.898990e-01 2.595960e+00 2 3
-9.898990e-01 2.636364e+00 3 3
-9.898990e-01 2.676768e+00 4 3
-9.898990e-01 2.717172e+00 2 3
-9.898990e-01 2.757576e+00 1 3
-9.898990e-01 2.797980e+00 2 3
-9.898990e-01 2.838384e+00 4 3
-9.898990e-01 2.878788e+00 3 3
-9.898990e-01 2.919192e+00 3 3
-9.898990e-01 2.959596e+00 3 3
-9.898990e-01 3.000000e+00 3 3

-9.494949e-01 -1.000000e+00 2 2
-9.494949e-01 -9.595960e-01 2 2
-9.494949e-01 -9.191919e-01 3 2
-9.494949e-01 -8.787879e-01 3 2
-9.494949e-01 -8.383838e-01 2 2
-9.494949e-01 -7.979798e-01 2 2
-9.494949e-01 -7.575758e-01 3 2
-9.494949e-01 -7.171717e-01 1 2
-9.494949e-01 -6.767677e-01 2 2
-9.494949e-01 -6.363636e-01 0 2
-9.494949e-01 -5.959596e-01 0 2
-9.494949e-01 -5.555556e-01 2 2
-9.494949e-01 -5.151515e-01 3 1
-9.494949e-01 -4.747475e-01 2 1
-9.494949e-01 -4.343434e-01 1 1
-9.494949e-01 -3.939394e-01 1 1
-9.494949e-01 -3.535354e-01 2 1
-9.494949e-01 -3.131313e-01 2 2
-9.494949e-01 -2.727273e-01 2 2
-9.494949e-01 -2.323232e-01 2 1
-9.494949e-01 -1.919192e-01 3 2
-9.494949e-01 -1.515152e-01 2 2
-9.494949e-01 -1.111111e-01 3 2
-9.494949e-01 -7.070707e-02 3 2
-9.494949e-01 -3.030303e-02 2 2
-9.494949e-01 1.010101e-02 2 2
-9.494949e-01 5.050505e-02 2 2
-9.494949e-01 9.090909e-02 3 2
-9.494949e-01 1.313131e-01 2 2
-9.494949e-01 1.717172e-01 2 2
-9.494949e-01 2.121212e-01 2 1
-9.494949e-01 2.525253e-01 1 1
-9.494949e-01 2.929293e-01 2 2
-9.494949e-01 3.333333e-01 3 2
-9.494949e-01 3.737374e-01 4 2
-9.494949e-01 4.141414e-01 3 3
-9.494949e-01 4.545455e-01 2 2
-9.494949e-01 4.949495e-01 2 2
-9.494949e-01 5.353535e-01 2 2
-9.494949e-01 5.757576e-01 4 3
-9.494949e-01 6.161616e-01 4 3
-9.494949e-01 6.565657e-01 2 3
-9.494949e-01 6.969697e-01 2 3
-9.494949e-01 7.373737e-01 4 3
-9.494949e-01 7.777778e-01 4 3
-9.494949e-01 8.181818e-01 4 3
-9.494949e-01 8.585859e-01 2 3
-9.494949e-01 8.989899e-01 2 3
-9.494949e-01 9.393939e-01 2 3
-9.494949e-01 9.797980e-01 4 3
-9.494949e-01 1.020202e+00 3 3
-9.494949e-01 1.060606e+00 4 3
-9.494949e-01 1.101010e+00 4 3
-9.494949e-01 1.141414e+00 4 3
-9.494949e-01 1.181818e+00 4 3
-9.494949e-01 1.222222e+00 2 3
-9.494949e-01 1.262626e+00 4 3
-9.494949e-01 1.303030e+00 3 3
-9.494949e-01 1.343434e+00 4 3
-9.494949e-01 1.383838e+00 2 3
-9.494949e-01 1.424242e+00 3 3
-9.494949e-01 1.464646e+00 3 3
-9.494949e-01 1.505051e+00 3 3
-9.494949e-01 1.545455e+00 2 3
-9.494949e-01 1.585859e+00 2 3
-9.494949e-01 1.626263e+00 2 3
-9.494949e-01 1.666667e+00 3 3
-9.494949e-01 1.707071e+00 3 3
-9.494949e-01 1.747475e+00 3 3
-9.494949e-01 1.787879e+00 3 3
-9.494949e-01 1.828283e+00 3 3
-9.494949e-01 1.868687e+00 3 3
-9.494949e-01 1.909091e+00 4 3
-9.494949e-01 1.949495e+00 4 3
-9.494949e-01 1.989899e+00 3 3
-9.494949e-01 2.030303e+00 3 2
-9.494949e-01 2.070707e+00 4 3
-9.494949e-01 2.111111e+00 2 3
-9.494949e-01 2.151515e+00 2 3
-9.494949e-01 2.191919e+00 3 3
-9.494949e-01 2.232323e+00 3 3
-9.494949e-01 2.272727e+00 2 3
-9.494949e-01 2.313131e+00 2 3
-9.494949e-01 2.353535e+00 4 3
-9.494949e-01 2.393939e+00 3 3
-9.494949e-01 2.434343e+00 3 3
-9.494949e-01 2.474747e+00 2 3
-9.494949e-01 2.515152e+00 3 3
-9.494949e-01 2.555556e+00 3 3
-9.494949e-01 2.595960e+00 3 3
-9.494949e-01 2.636364e+00 3 3
-9.494949e-01 2.676768e+00 4 3
-9.494949e-01 2.717172e+00 2 3
-9.494949e-01 2.757576e+00 2 3
-9.494949e-01 2.797980e+00 4 2
-9.494949e-01 2.838384e+00 3 3
-9.494949e-01 2.878788e+00 2 3
-9.494949e-01 2.919192e+00 4 3
-9.494949e-01 2.959596e+00 2 3
-9.494949e-01 3.000000e+00 3 3

-9.090909e-01 -1.000000e+00 3 2
-9.090909e-01 -9.595960e-01 2 2
-9.090909e-01 -9.191919e-01 4 2
-9.090909e-01 -8.787879e-01 3 2
-9.090909e-01 -8.383838e-01 3 2
-9.090909e-01 -7.979798e-01 1 2
-9.090909e-01 -7.575758e-01 1 2
-9.090909e-01 -7.171717e-01 3 2
-9.090909e-01 -6.767677e-01 3 1
-9.090909e-01 -6.363636e-01 3 2
-9.090909e-01 -5.959596e-01 3 1
-9.090909e-01 -5.555556e-01 3 1
-9.090909e-01 -5.151515e-01 1 2
-9.090909e-01 -4.747475e-01 2 2
-9.090909e-01 -4.343434e-01 2 1
-9.090909e-01 -3.939394e-01 2 2
-9.090909e-01 -3.535354e-01 2 2
-9.090909e-01 -3.131313e-01 2 1
-9.090909e-01 -2.727273e-01 2 2
-9.090909e-01 -2.323232e-01 2 2
-9.090909e-01 -1.919192e-01 3 2
-9.090909e-01 -1.515152e-01 2 2
-9.090909e-01 -1.111111e-01 3 2
-9.090909e-01 -7.070707e-02 2 2
-9.090909e-01 -3.030303e-02 2 2
-9.090909e-01 1.010101e-02 2 2
-9.090909e-01 5.050505e-02 2 2
-9.090909e-01 9.090909e-02 2 2
-9.090909e-01 1.313131e-01 2 1
-9.090909e-01 1.717172e-01 1 2
-9.090909e-01 2.121212e-01 2 2
-9.090909e-01 2.525253e-01 3 2
-9.090909e-01 2.929293e-01 4 3
-9.090909e-01 3.333333e-01 4 3
-9.090909e-01 3.737374e-01 4 3
-9.090909e-01 4.141414e-01 3 2
-9.090909e-01 4.545455e-01 2 2
-9.090909e-01 4.949495e-01 2 3
-9.090909e-01 5.353535e-01 5 3
-9.090909e-01 5.757576e-01 2 3
-9.090909e-01 6.161616e-01 2 3
-9.090909e-01 6.565657e-01 3 3
-9.090909e-01 6.969697e-01 4 3
-9.090909e-01 7.373737e-01 3 2
-9.090909e-01 7.777778e-01 3 2
-9.090909e-01 8.181818e-01 2 3
-9.090909e-01 8.585859e-01 3 3
-9.090909e-01 8.989899e-01 3 3
-9.090909e-01 9.393939e-01 2 3
-9.090909e-01 9.797980e-01 3 3
-9.090909e-01 1.020202e+00 4 3
-9.090909e-01 1.060606e+00 4 3
-9.090909e-01 1.101010e+00 4 3
-9.090909e-01 1.141414e+00 4 3
-9.090909e-01 1.181818e+00 4 3
-9.090909e-01 1.222222e+00 4 3
-9.090909e-01 1.262626e+00 3 3
-9.090909e-01 1.303030e+00 3 3
-9.090909e-01 1.343434e+00 3 3
-9.090909e-01 1.383838e+00 4 3
-9.090909e-01 1.424242e+00 4 3
-9.090909e-01 1.464646e+00 2 3
-9.090909e-01 1.505051e+00 4 3
-9.090909e-01 1.545455e+00 3 3
-9.090909e-01 1.585859e+00 4 3
-9.090909e-01 1.626263e+00 4 3
-9.090909e-01 1.666667e+00 2 3
-9.090909e-01 1.707071e+00 3 3
-9.090909e-01 1.747475e+00 4 3
-9.090909e-01 1.787879e+00 4 3
-9.090909e-01 1.828283e+00 4 3
-9.090909e-01 1.868687e+00 2 3
-9.090909e-01 1.909091e+00 3 3
-9.090909e-01 1.949495e+00 2 3
-9.090909e-01 1.989899e+00 2 3
-9.090909e-01 2.030303e+00 4 2
-9.090909e-01 2.070707e+00 2 3
-9.090909e-01 2.111111e+00 4 3
-9.090909e-01 2.151515e+00 4 3
-9.090909e-01 2.191919e+00 2 3
-9.090909e-01 2.232323e+00 2 3
-9.090909e-01 2.272727e+00 4 3
-9.090909e-01 2.313131e+00 4 3
-9.090909e-01 2.353535e+00 4 3
-9.090909e-01 2.393939e+00 4 3
-9.090909e-01 2.434343e+00 3 3
-9.090909e-01 2.474747e+00 2 3
-9.090909e-01 2.515152e+00 3 3
-9.090909e-01 2.555556e+00 4 3
-9.090909e-01 2.595960e+00 4 3
-9.090909e-01 2.636364e+00 3 3
-9.090909e-01 2.676768e+00 3 3
-9.090909e-01 2.717172e+00 2 3
-9.090909e-01 2.757576e+00 4 3
-9.090909e-01 2.797980e+00 2 3
-9.090909e-01 2.838384e+00 4 3
-9.090909e-01 2.878788e+00 4 3
-9.090909e-01 2.919192e+00 3 3
-9.090909e-01 2.959596e+00 4 3
-9.090909e-01 3.000000e+00 3 3

-8.686869e-01 -1.000000e+00 3 2
-8.686869e-01 -9.595960e-01 3 2
-8.686869e-01 -9.191919e-01 2 2
-8.686869e-01 -8.787879e-01 1 2
-8.686869e-01 -8.383838e-01 1 2
-8.686869e-01 -7.979798e-01 3 2
-8.686869e-01 -7.575758e-01 3 1
-8.686869e-01 -7.171717e-01 4 1
-8.686869e-01 -6.767677e-01 3 2
-8.686869e-01 -6.363636e-01 2 2
-8.686869e-01 -5.959596e-01 2 2
-8.686869e-01 -5.555556e-01 2 2
-8.686869e-01 -5.151515e-01 2 2
-8.686869e-01 -4.747475e-01 2 2
-8.686869e-01 -4.343434e-01 2 2
-8.686869e-01 -3.939394e-01 2 2
-8.686869e-01 -3.535354e-01 3 2
-8.686869e-01 -3.131313e-01 2 2
-8.686869e-01 -2.727273e-01 3 2
-8.686869e-01 -2.323232e-01 2 2
-8.686869e-01 -1.919192e-01 3 2
-8.686869e-01 -1.515152e-01 3 2
-8.686869e-01 -1.111111e-01 3 2
-8.686869e-01 -7.070707e-02 2 2
-8.686869e-01 -3.030303e-02 4 2
-8.686869e-01 1.010101e-02 1 1
-8.686869e-01 5.050505e-02 2 1
-8.686869e-01 9.090909e-02 1 2
-8.686869e-01 1.313131e-01 2 2
-8.686869e-01 1.717172e-01 2 2
-8.686869e-01 2.121212e-01 3 2
-8.686869e-01 2.525253e-01 4 3
-8.686869e-01 2.929293e-01 4 3
-8.686869e-01 3.333333e-01 2 2
-8.686869e-01 3.737374e-01 2 2
-8.686869e-01 4.141414e-01 2 2
-8.686869e-01 4.545455e-01 4 3
-8.686869e-01 4.949495e-01 2 2
-8.686869e-01 5.353535e-01 3 2
-8.686869e-01 5.757576e-01 2 3
-8.686869e-01 6.161616e-01 4 3
-8.686869e-01 6.565657e-01 3 3
-8.686869e-01 6.969697e-01 4 3
-8.686869e-01 7.373737e-01 5 3
-8.686869e-01 7.777778e-01 3 3
-8.686869e-01 8.181818e-01 4 3
-8.686869e-01 8.585859e-01 3 3
-8.686869e-01 8.989899e-01 4 3
-8.686869e-01 9.393939e-01 4 3
-8.686869e-01 9.797980e-01 3 3
-8.686869e-01 1.020202e+00 2 3
-8.686869e-01 1.060606e+00 3 3
-8.686869e-01 1.101010e+00 4 3
-8.686869e-01 1.141414e+00 3 3
-8.686869e-01 1.181818e+00 4 3
-8.686869e-01 1.222222e+00 4 3
-8.686869e-01 1.262626e+00 4 3
-8.686869e-01 1.303030e+00 4 3
-8.686869e-01 1.343434e+00 5 3
-8.686869e-01 1.383838e+00 3 3
-8.686869e-01 1.424242e+00 5 3
-8.686869e-01 1.464646e+00 3 3
-8.686869e-01 1.505051e+00 2 3
-8.686869e-01 1.545455e+00 2 3
-8.686869e-01 1.585859e+00 3 3
-8.686869e-01 1.626263e+00 4 3
-8.686869e-01 1.666667e+00 4 3
-8.686869e-01 1.707071e+00 4 3
-8.686869e-01 1.747475e+00 4 3
-8.686869e-01 1.787879e+00 4 3
-8.686869e-01 1.828283e+00 4 3
-8.686869e-01 1.868687e+00 4 3
-8.686869e-01 1.909091e+00 3 3
-8.686869e-01 1.949495e+00 4 3
-8.686869e-01 1.989899e+00 3 3
-8.686869e-01 2.030303e+00 3 3
-8.686869e-01 2.070707e+00 3 3
-8.686869e-01 2.111111e+00 4 3
-8.686869e-01 2.151515e+00 3 3
-8.686869e-01 2.191919e+00 4 3
-8.686869e-01 2.232323e+00 4 3
-8.686869e-01 2.272727e+00 4 3
-8.686869e-01 2.313131e+00 4 3
-8.686869e-01 2.353535e+00 3 3
-8.686869e-01 2.393939e+00 4 3
-8.686869e-01 2.434343e+00 3 3
-8.686869e-01 2.474747e+00 4 3
-8.686869e-01 2.515152e+00 2 3
-8.686869e-01 2.555556e+00 4 3
-8.686869e-01 2.595960e+00 3 3
-8.686869e-01 2.636364e+00 4 3
-8.686869e-01 2.676768e+00 3 2
-8.686869e-01 2.717172e+00 4 3
-8.686869e-01 2.757576e+00 3 3
-8.686869e-01 2.797980e+00 3 3
-8.686869e-01 2.838384e+00 4 3
-8.686869e-01 2.878788e+00 3 3
-8.686869e-01 2.919192e+00 3 2
-8.686869e-01 2.959596e+00 2 3
-8.686869e-01 3.000000e+00 4 3

-8.282828e-01 -1.000000e+00 3 2
-8.282828e-01 -9.595960e-01 2 2
-8.282828e-01 -9.191919e-01 1 2
-8.282828e-01 -8.787879e-01 4 2
-8.282828e-01 -8.383838e-01 3 1
-8.282828e-01 -7.979798e-01 2 2
-8.282828e-01 -7.575758e-01 3 2
-8.282828e-01 -7.171717e-01 4 2
-8.282828e-01 -6.767677e-01 2 2
-8.282828e-01 -6.363636e-01 2 1
-8.282828e-01 -5.959596e-01 2 2
-8.282828e-01 -5.555556e-01 2 2
-8.282828e-01 -5.151515e-01 2 2
-8.282828e-01 -4.747475e-01 2 2
-8.282828e-01 -4.343434e-01 2 2
-8.282828e-01 -3.939394e-01 2 2
-8.282828e-01 -3.535354e-01 3 2
-8.282828e-01 -3.131313e-01 3 2
-8.282828e-01 -2.727273e-01 3 2
-8.282828e-01 -2.323232e-01 3 2
-8.282828e-01 -1.919192e-01 3 2
-8.282828e-01 -1.515152e-01 2 2
-8.282828e-01 -1.111111e-01 2 2
-8.282828e-01 -7.070707e-02 1 2
